交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2026/01/14,TX,202606  ,31380,31422,31322,31380,168,0.54%,7,31346,435,31342,31351,31561,20819,,一般,,
2026/01/14,TX,202606  ,31232,31362,31232,31362,150,0.48%,16,-,-,31287,31299,31561,20819,,盤後,,
2026/01/14,TX,202609  ,-,-,-,-,-,-,0,31144,205,31136,31153,31296,24962,,一般,,
2026/01/14,TX,202609  ,31122,31217,31040,31064,59,0.19%,10,-,-,31083,31099,31296,24962,,盤後,,
2026/01/14,TX,202612  ,31220,31220,31220,31220,101,0.32%,1,31250,46,31234,31266,31323,27382,,一般,,
2026/01/14,TX,202612  ,31300,31313,31300,31313,194,0.62%,3,-,-,31179,31229,31323,27382,,盤後,,
2026/01/15,TX,202601  ,30831,31057,30744,31050,70,0.23%,58154,31050,75732,31050,31052,31252,26277,,一般,,
2026/01/15,TX,202601  ,30940,30990,30657,30841,-139,-0.45%,52310,-,-,30834,30841,31252,26277,,盤後,,
2026/01/15,TX,202602  ,30958,31134,30845,31127,19,0.06%,2541,31130,7234,31127,31133,31364,26305,,一般,,
2026/01/15,TX,202602  ,31085,31110,30794,30965,-143,-0.46%,1604,-,-,30961,30970,31364,26305,,盤後,,
2026/01/15,TX,202603  ,31027,31151,30901,31151,-7,-0.02%,224,31160,1155,31156,31164,31408,17068,,一般,,
2026/01/15,TX,202603  ,31121,31153,30853,30953,-205,-0.66%,85,-,-,31019,31036,31408,17068,,盤後,,
2026/01/15,TX,202606  ,31200,31200,31200,31200,-146,-0.47%,23,31345,437,31341,31349,31561,20819,,一般,,
2026/01/15,TX,202606  ,31315,31315,31111,31158,-188,-0.60%,15,-,-,31197,31230,31561,20819,,盤後,,
2026/01/15,TX,202609  ,31085,31085,31085,31085,-59,-0.19%,3,31144,209,31137,31152,31296,24962,,一般,,
2026/01/15,TX,202609  ,31000,31000,30973,30973,-171,-0.55%,5,-,-,30997,31039,31296,24962,,盤後,,
2026/01/15,TX,202612  ,-,-,-,-,-,-,0,31262,46,31246,31279,31323,27382,,一般,,
2026/01/15,TX,202612  ,-,-,-,-,-,-,0,-,-,31094,31184,31323,27382,,盤後,,
2026/01/16,TX,202601  ,31382,31536,31157,31474,424,1.37%,72871,31476,70108,31473,31477,31543,26277,,一般,,
2026/01/16,TX,202601  ,31182,31543,31119,31335,285,0.92%,65948,-,-,31335,31341,31543,26277,,盤後,,
2026/01/16,TX,202602  ,31447,31607,31237,31568,438,1.41%,8996,31567,12700,31560,31568,31607,26305,,一般,,
2026/01/16,TX,202602  ,31230,31590,31193,31410,280,0.90%,3194,-,-,31411,31420,31590,26305,,盤後,,
2026/01/16,TX,202603  ,31462,31610,31255,31578,418,1.34%,234,31578,1146,31575,31586,31610,17068,,一般,,
2026/01/16,TX,202603  ,31255,31600,31221,31438,278,0.89%,431,-,-,31436,31452,31600,17068,,盤後,,
2026/01/16,TX,202606  ,31574,31770,31500,31741,396,1.26%,39,31741,445,31720,31754,31770,20819,,一般,,
2026/01/16,TX,202606  ,31470,31700,31462,31700,355,1.13%,45,-,-,31550,31641,31700,20819,,盤後,,
2026/01/16,TX,202609  ,31400,31560,31273,31514,370,1.19%,15,31527,200,31510,31544,31560,24962,,一般,,
2026/01/16,TX,202609  ,31294,31500,31260,31500,356,1.14%,14,-,-,31323,31436,31500,24962,,盤後,,
2026/01/16,TX,202612  ,31502,31670,31370,31615,353,1.13%,12,31634,66,31609,31659,31670,27382,,一般,,
2026/01/16,TX,202612  ,31570,31631,31570,31600,338,1.08%,22,-,-,31479,31570,31631,27382,,盤後,,
2026/01/19,TX,202601  ,31272,31774,31208,31669,193,0.61%,89177,31672,46669,31667,31669,31774,26277,,一般,,
2026/01/19,TX,202601  ,31491,31525,31287,31342,-134,-0.43%,35778,-,-,31342,31346,31543,26277,,盤後,,
2026/01/19,TX,202602  ,31341,31890,31321,31786,219,0.69%,34813,31792,34269,31784,31788,31890,26305,,一般,,
2026/01/19,TX,202602  ,31564,31616,31400,31458,-109,-0.35%,2033,-,-,31458,31463,31616,26305,,盤後,,
2026/01/19,TX,202603  ,31409,31902,31350,31814,236,0.75%,225,31814,1184,31804,31810,31902,17068,,一般,,
2026/01/19,TX,202603  ,31567,31650,31422,31516,-62,-0.20%,187,-,-,31478,31502,31650,17068,,盤後,,
2026/01/19,TX,202606  ,31565,32050,31560,31955,214,0.67%,53,31955,457,31953,31964,32050,20819,,一般,,
2026/01/19,TX,202606  ,31775,31775,31638,31650,-91,-0.29%,8,-,-,31600,31672,31775,20819,,盤後,,
2026/01/19,TX,202609  ,31830,31840,31740,31750,223,0.71%,8,31750,202,31736,31754,31840,24962,,一般,,
2026/01/19,TX,202609  ,31550,31565,31550,31565,38,0.12%,2,-,-,31387,31470,31565,24962,,盤後,,
2026/01/19,TX,202612  ,31550,31965,31550,31900,266,0.84%,9,31868,68,31851,31885,31965,27382,,一般,,
2026/01/19,TX,202612  ,31660,31682,31572,31572,-62,-0.20%,5,-,-,31512,31592,31682,27382,,盤後,,
2026/01/20,TX,202601  ,31481,31742,31328,31672,0,0.00%,81251,31668,22999,31673,31675,31774,26277,,一般,,
2026/01/20,TX,202601  ,31641,31690,31525,31558,-114,-0.36%,24067,-,-,31555,31561,31774,26277,,盤後,,
2026/01/20,TX,202602  ,31640,31860,31476,31800,8,0.03%,42093,31794,55490,31796,31802,31890,26305,,一般,,
2026/01/20,TX,202602  ,31760,31805,31655,31696,-96,-0.30%,4780,-,-,31690,31699,31890,26305,,盤後,,
2026/01/20,TX,202603  ,31641,31888,31538,31825,11,0.03%,232,31825,1247,31833,31842,31902,17068,,一般,,
2026/01/20,TX,202603  ,31819,31832,31693,31740,-74,-0.23%,108,-,-,31722,31737,31902,17068,,盤後,,
2026/01/20,TX,202606  ,31801,31856,31695,31856,-99,-0.31%,28,31998,453,31994,32003,32050,20819,,一般,,
2026/01/20,TX,202606  ,31964,31964,31851,31895,-60,-0.19%,9,-,-,31868,31891,32050,20819,,盤後,,
2026/01/20,TX,202609  ,31531,31750,31500,31735,-15,-0.05%,7,31787,203,31776,31798,31840,24962,,一般,,
2026/01/20,TX,202609  ,31732,31732,31688,31688,-62,-0.20%,3,-,-,31661,31685,31840,24962,,盤後,,
2026/01/20,TX,202612  ,31690,31942,31600,31942,74,0.23%,8,31908,69,31890,31927,31965,27382,,一般,,
2026/01/20,TX,202612  ,31831,31847,31814,31814,-54,-0.17%,5,-,-,31773,31810,31965,27382,,盤後,,
2026/01/21,TX,202601  ,31296,31650,31200,31245,-423,-1.34%,48845,0,12117,31245,31246,31774,26277,,一般,,
2026/01/21,TX,202601  ,31560,31575,31186,31231,-437,-1.38%,50056,-,-,31230,31231,31774,26277,,盤後,,
2026/01/21,TX,202602  ,31437,31802,31377,31484,-310,-0.98%,59065,31471,65384,31479,31484,31890,26305,,一般,,
2026/01/21,TX,202602  ,31719,31719,31348,31376,-418,-1.31%,19792,-,-,31375,31377,31890,26305,,盤後,,
2026/01/21,TX,202603  ,31575,31842,31425,31526,-299,-0.94%,531,31526,1575,31523,31530,31902,17068,,一般,,
2026/01/21,TX,202603  ,31735,31735,31421,31478,-347,-1.09%,258,-,-,31441,31474,31902,17068,,盤後,,
2026/01/21,TX,202606  ,31757,32006,31627,31726,-272,-0.85%,66,31726,472,31719,31732,32050,20819,,一般,,
2026/01/21,TX,202606  ,31799,31857,31620,31620,-378,-1.18%,54,-,-,31620,31657,32050,20819,,盤後,,
2026/01/21,TX,202609  ,31596,31700,31450,31526,-261,-0.82%,6,31526,213,31521,31537,31840,24962,,一般,,
2026/01/21,TX,202609  ,31585,31650,31400,31400,-387,-1.22%,16,-,-,31408,31429,31840,24962,,盤後,,
2026/01/21,TX,202612  ,31605,31909,31597,31652,-256,-0.80%,8,31652,71,31641,31676,31965,27382,,一般,,
2026/01/21,TX,202612  ,31695,31777,31565,31565,-343,-1.07%,11,-,-,31527,31587,31965,27382,,盤後,,
2026/01/22,TX,202602  ,31876,32057,31783,31857,386,1.23%,72142,31863,66455,31857,31860,32057,26305,,一般,,
2026/01/22,TX,202602  ,31506,31982,31448,31726,255,0.81%,80848,-,-,31723,31730,31982,26305,,盤後,,
2026/01/22,TX,202603  ,31912,32106,31845,31910,384,1.22%,1394,31914,2475,31906,31910,32106,17068,,一般,,
2026/01/22,TX,202603  ,31537,32014,31502,31788,262,0.83%,1221,-,-,31777,31789,32014,17068,,盤後,,
2026/01/22,TX,202604  ,32088,32208,32088,32130,544,1.72%,27,32006,13,32002,32010,32208,32088,,一般,,
2026/01/22,TX,202606  ,32109,32255,32100,32114,388,1.22%,30,32100,467,32096,32104,32255,20819,,一般,,
2026/01/22,TX,202606  ,31760,32200,31710,32200,474,1.49%,45,-,-,31950,31975,32200,20819,,盤後,,
2026/01/22,TX,202609  ,31940,32100,31920,32000,474,1.50%,33,31918,229,31912,31925,32100,24962,,一般,,
2026/01/22,TX,202609  ,31625,31902,31625,31800,274,0.87%,17,-,-,31755,31784,31902,24962,,盤後,,
2026/01/22,TX,202612  ,32050,32235,32049,32235,583,1.84%,5,32053,74,32038,32068,32235,27382,,一般,,
2026/01/22,TX,202612  ,31745,32045,31745,31941,289,0.91%,6,-,-,31883,31930,32045,27382,,盤後,,
2026/01/23,TX,202602  ,31995,32166,31873,32153,290,0.91%,68404,32159,67256,32152,32156,32166,26305,,一般,,
2026/01/23,TX,202602  ,31845,32135,31841,32012,149,0.47%,48858,-,-,32012,32018,32135,26305,,盤後,,
2026/01/23,TX,202603  ,32033,32212,31925,32203,289,0.91%,792,32208,2601,32199,32204,32212,17068,,一般,,
2026/01/23,TX,202603  ,31932,32182,31925,32066,152,0.48%,510,-,-,32061,32071,32182,17068,,盤後,,
2026/01/23,TX,202604  ,32120,32228,32067,32228,222,0.69%,20,32292,23,32289,32296,32228,32006,,一般,,
2026/01/23,TX,202604  ,32006,32193,32006,32193,187,0.58%,12,-,-,32154,32170,32208,32006,,盤後,,
2026/01/23,TX,202606  ,32313,32400,32126,32400,300,0.93%,32,32400,470,32390,32397,32400,20819,,一般,,
2026/01/23,TX,202606  ,32218,32364,32218,32250,150,0.47%,16,-,-,32247,32260,32364,20819,,盤後,,
2026/01/23,TX,202609  ,32139,32192,31938,32192,274,0.86%,14,32210,219,32204,32217,32192,24962,,一般,,
2026/01/23,TX,202609  ,31950,32159,31950,32100,182,0.57%,34,-,-,32057,32076,32159,24962,,盤後,,
2026/01/23,TX,202612  ,32280,32342,32100,32342,289,0.90%,9,32358,80,32343,32373,32342,27382,,一般,,
2026/01/23,TX,202612  ,32223,32289,32200,32280,227,0.71%,7,-,-,32200,32248,32289,27382,,盤後,,
2026/01/26,TX,202602  ,32128,32231,32086,32144,-15,-0.05%,57175,32150,66009,32144,32148,32265,26305,,一般,,
2026/01/26,TX,202602  ,32184,32265,32058,32238,79,0.25%,51696,-,-,32237,32242,32265,26305,,盤後,,
2026/01/26,TX,202603  ,32202,32267,32128,32181,-27,-0.08%,837,32189,2918,32176,32184,32303,17068,,一般,,
2026/01/26,TX,202603  ,32218,32303,32103,32288,80,0.25%,877,-,-,32277,32285,32303,17068,,盤後,,
2026/01/26,TX,202604  ,32297,32322,32287,32288,-4,-0.01%,14,32264,39,32259,32269,32378,32006,,一般,,
2026/01/26,TX,202604  ,32309,32378,32248,32378,86,0.27%,10,-,-,32371,32381,32378,32006,,盤後,,
2026/01/26,TX,202606  ,32383,32451,32340,32370,-30,-0.09%,31,32370,468,32357,32367,32476,20819,,一般,,
2026/01/26,TX,202606  ,32434,32476,32370,32476,76,0.23%,7,-,-,32471,32482,32476,20819,,盤後,,
2026/01/26,TX,202609  ,-,-,-,-,-,-,0,32188,221,32181,32196,32302,24962,,一般,,
2026/01/26,TX,202609  ,32254,32302,32181,32302,92,0.29%,7,-,-,32292,32304,32302,24962,,盤後,,
2026/01/26,TX,202612  ,32368,32451,32325,32325,-33,-0.10%,7,32352,89,32341,32363,32451,27382,,一般,,
2026/01/26,TX,202612  ,32432,32441,32350,32392,34,0.11%,9,-,-,32433,32468,32441,27382,,盤後,,
2026/01/27,TX,202602  ,32313,32532,32206,32509,359,1.12%,62851,32505,67594,32506,32509,32532,26305,,一般,,
2026/01/27,TX,202602  ,32134,32363,32033,32288,138,0.43%,43161,-,-,32280,32288,32363,26305,,盤後,,
2026/01/27,TX,202603  ,32328,32550,32233,32530,341,1.06%,902,32533,2925,32532,32538,32550,17068,,一般,,
2026/01/27,TX,202603  ,32173,32375,32080,32298,109,0.34%,567,-,-,32295,32307,32375,17068,,盤後,,
2026/01/27,TX,202604  ,32400,32610,32400,32586,322,1.00%,21,32599,53,32596,32602,32610,32006,,一般,,
2026/01/27,TX,202604  ,32386,32399,32379,32379,115,0.36%,10,-,-,32363,32382,32399,32006,,盤後,,
2026/01/27,TX,202606  ,32480,32700,32480,32700,330,1.02%,7,32688,485,32684,32692,32700,20819,,一般,,
2026/01/27,TX,202606  ,32380,32526,32280,32480,110,0.34%,65,-,-,32460,32470,32526,20819,,盤後,,
2026/01/27,TX,202609  ,32356,32521,32260,32483,295,0.92%,61,32529,254,32523,32535,32521,24962,,一般,,
2026/01/27,TX,202609  ,32148,32339,32148,32339,151,0.47%,20,-,-,32274,32304,32339,24962,,盤後,,
2026/01/27,TX,202612  ,32530,32688,32530,32643,291,0.90%,8,32681,88,32671,32692,32688,27382,,一般,,
2026/01/27,TX,202612  ,32400,32482,32400,32482,130,0.40%,2,-,-,32405,32468,32482,27382,,盤後,,
2026/01/28,TX,202602  ,32758,32938,32668,32927,422,1.30%,60131,32925,68487,32923,32926,32938,26305,,一般,,
2026/01/28,TX,202602  ,32526,32750,32513,32696,191,0.59%,35434,-,-,32692,32696,32750,26305,,盤後,,
2026/01/28,TX,202603  ,32777,32963,32701,32957,424,1.30%,894,32956,2979,32948,32956,32963,17068,,一般,,
2026/01/28,TX,202603  ,32550,32777,32547,32720,187,0.57%,459,-,-,32720,32728,32777,17068,,盤後,,
2026/01/28,TX,202604  ,32856,33032,32791,33032,433,1.33%,17,33032,56,33023,33030,33032,32006,,一般,,
2026/01/28,TX,202604  ,32640,32805,32640,32805,206,0.63%,2,-,-,32792,32804,32805,32006,,盤後,,
2026/01/28,TX,202606  ,32953,33100,32880,33098,410,1.25%,76,33098,489,33092,33101,33100,20819,,一般,,
2026/01/28,TX,202606  ,32716,32915,32716,32891,203,0.62%,13,-,-,32883,32893,32915,20819,,盤後,,
2026/01/28,TX,202609  ,32830,32942,32730,32940,411,1.26%,8,32940,256,32933,32947,32942,24962,,一般,,
2026/01/28,TX,202609  ,32605,32605,32605,32605,76,0.23%,1,-,-,32715,32734,32605,24962,,盤後,,
2026/01/28,TX,202612  ,32886,33075,32880,33075,394,1.21%,6,33075,80,33064,33086,33075,27382,,一般,,
2026/01/28,TX,202612  ,32731,32878,32730,32878,197,0.60%,12,-,-,32852,32885,32878,27382,,盤後,,
2026/01/29,TX,202602  ,33014,33014,32587,32777,-148,-0.45%,78180,32774,70655,32777,32780,33153,26305,,一般,,
2026/01/29,TX,202602  ,32985,33153,32847,33015,90,0.27%,55311,-,-,33014,33016,33153,26305,,盤後,,
